seed,school,rating538
1,Alabama,92.24
16,Southeast Missouri State,67.7
16,Texas A&M-Corpus Christi,69.92
8,Maryland,84.48
9,West Virginia,84.14
5,San Diego State,86.07
12,Charleston,79.76
4,Virginia,83.81
13,Furman,78.22
6,Creighton,87.54
11,NC State,81.44
3,Baylor,87.12
14,UC Santa Barbara,75.51
7,Missouri,81.39
10,Utah State,83.49
2,Arizona,88.98
15,Princeton,74.83
1,Purdue,89.6
16,Texas Southern,66.56
16,Fairleigh Dickinson,64.39
8,Memphis,84.18
9,Florida Atlantic,82.56
5,Duke,87.13
12,Oral Roberts,79.18
4,Tennessee,86.87
13,Louisiana,76.36
6,Kentucky,86.03
11,Providence,82.78
3,Kansas State,84.46
14,Montana State,75.32
7,Michigan State,83.82
10,USC,83.05
2,Marquette,87.59
15,Vermont,76.24
1,Houston,93.84
16,Northern Kentucky,72.87
8,Iowa,84.47
9,Auburn,84.86
5,Miami,83.6
12,Drake,81.17
4,Indiana,85.8
13,Kent State,79.37
6,Iowa State,84.54
11,Mississippi State,81.84
11,Pittsburgh,79.64
3,Xavier,84.35
14,Kennesaw State,73.28
7,Texas A&M,85.51
10,Penn State,82.66
2,Texas,90.07
15,Colgate,76.17
1,Kansas,89.61
16,Howard,69.29
8,Arkansas,85.12
9,Illinois,84.54
5,Saint Mary's,85.87
12,VCU,81.35
4,UConn,89.23
13,Iona,79.58
6,TCU,85.42
11,Arizona State,80.36
11,Nevada,79.6
3,Gonzaga,89.9
14,Grand Canyon,75.91
7,Northwestern,82.24
10,Boise State,82.62
2,UCLA,88.26
15,UNC Asheville,73.02
